"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Dec 15, 2021","2021.6901",Germany,Brazil,"Black pepper","Herbs and spices","Salmonella Morehead - pathogenic micro-organisms; Salmonella Javiana - pathogenic micro-organisms; Salmonella Braenderup - pathogenic micro-organisms; Salmonella Saintpaul - pathogenic micro-organisms; Salmonella Kiambu - pathogenic micro-organisms; Salmonella Minnesota - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms"
"Dec 15, 2021","2021.6900",Germany,Brazil,"Black pepper","Herbs and spices","Salmonella Morehead - pathogenic micro-organisms; Salmonella Rubislaw - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Dec 15, 2021","2021.6899",Italy,Morocco,Pagro,"Fish and products thereof",,
"Dec 15, 2021","2021.6898",Spain,Brazil,"Pimienta Negra - black pepper","Herbs and spices","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 15, 2021","2021.6896",Spain,Morocco,Biscuits,"Cereals and bakery products",,
"Dec 15, 2021","2021.6895",Italy,Poland,"Carne di pollame refrigerata","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms; Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Dec 15, 2021","2021.6893",Poland,"Argentina; Poland",Peanuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 15, 2021","2021.6887",Netherlands,Bolivia,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 15, 2021","2021.6886",Netherlands,Brazil,"Black Pepper","Herbs and spices","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 15, 2021","2021.6885",Netherlands,China,Tea,"Cocoa and cocoa preparations, coffee and tea","Lambda-cyhalothrin - pesticide residues; Biphenyl - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 15, 2021","2021.6883",Norway,"Türkiye",Mandarins,"Fruits and vegetables","Chlorpyrifos-methyl - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 15, 2021","2021.6880",France,,"Ewe's milk cheese","Milk and milk products","n/a","n/a"
"Dec 15, 2021","2021.6878",Lithuania,Russia,"Dried fish","Fish and products thereof","E 210 - benzoic acid - too high content of - food additives and flavourings; E 200 - sorbic acid - too high content of - food additives and flavourings","Food additives and flavourings; Food additives and flavourings"
"Dec 14, 2021","2021.6876",Belgium,Taiwan,"Melamine plastic plates","Food contact materials","Melamine - migration of - migration; Melamine - migration of - migration","Migration; Migration"
"Dec 14, 2021","2021.6874",Spain,China,"Dosidicus gigas","Cephalopods and products thereof",,
"Dec 14, 2021","2021.6873",Italy,Argentina,"ARANCE VALENCIA DEL LITORAL","Fruits and vegetables","Propiconazole - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6869",Romania,"Türkiye",Grapefruits,"Fruits and vegetables","Chlorpyrifos-methyl - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6868",Netherlands,"United Kingdom","Various food supplements","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Dec 14, 2021","2021.6867",Poland,Poland,Sausage,"Meat and meat products (other than poultry)","n/a","n/a"
"Dec 14, 2021","2021.6866",Slovakia,Poland,Sausage,"Meat and meat products (other than poultry)","Benzo(a)pyrene - industrial contaminants; Polycyclic aromatic hydrocarbons sum of - industrial contaminants","Industrial contaminants; Industrial contaminants"
"Dec 14, 2021","2021.6863",Ireland,China,"Wheat Straw Travel Mug","Food contact materials",,
"Dec 14, 2021","2021.6862",Germany,Lebanon,"Torchi Spices","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6861",Germany,Germany,"Herbal tea mixture with hemp leaves","Cocoa and cocoa preparations, coffee and tea","Tetrahydrocanabinol (THC) - biocontaminants",Biocontaminants
"Dec 14, 2021","2021.6860",Germany,Lebanon,"Schwarzer Pfeffer ganz - whole black pepper","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6857",Spain,China,"Bamboo fibre tableware","Food contact materials",,
"Dec 14, 2021","2021.6856",Slovenia,Italy,"Corn crackers with legumes","Cereals and bakery products","Milk ingredient - undeclared - allergens",Allergens
"Dec 14, 2021","2021.6855",Spain,Morocco,"Frambuesas - Raspberries","Fruits and vegetables",,
"Dec 14, 2021","2021.6854",Switzerland,"Sri Lanka",Rice,"Cereals and bakery products","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 14, 2021","2021.6852",Germany,Morocco,"Broad green beans","Fruits and vegetables","Oxamyl - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6851",Germany,Lebanon,"Spice preparation","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Dec 14, 2021","2021.6850",Finland,"Denmark; France","Licorice flavourered dates","Other food product / mixed","Matrine - unauthorised substance - pesticide residues; Matrine - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 14, 2021","2021.6847",Finland,"United Kingdom","Fruit-oat bar for children","Cereals and bakery products","Ochratoxin A - mycotoxins; Ochratoxin A - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 13, 2021","2021.6846",Denmark,Poland,"Burger buns and hot dog buns","Cereals and bakery products",,
"Dec 13, 2021","2021.6844",France,"France; India","Guar gum","Food additives and flavourings","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Dec 13, 2021","2021.6843",Spain,Brazil,"PIMIENTA NEGRA - Black pepper (Piper)","Herbs and spices","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 13, 2021","2021.6842",Germany,Germany,Nudeln,"Prepared dishes and snacks","n/a","n/a"
"Dec 13, 2021","2021.6839",Netherlands,Brazil,"Gallus gallus","Poultry meat and poultry meat products","Salmonella typhimurium monophasic - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 13, 2021","2021.6838",Italy,"Türkiye","Fichi secchi//dried figs","Fruits and vegetables","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 13, 2021","2021.6836",Bulgaria,"Türkiye",LEMONS,"Fruits and vegetables","Prochloraz - pesticide residues; Chlorpyrifos-methyl - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 13, 2021","2021.6835",Bulgaria,"Türkiye",MANDARINES,"Fruits and vegetables","Prochloraz - pesticide residues","Pesticide residues"
"Dec 13, 2021","2021.6832",Germany,France,"Raw milk cheese","Milk and milk products","Escherichia coli shigatoxin-producing - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 13, 2021","2021.6831",Italy,Spain,"Filoni di pesce spada(Xiphias gladius) // Swordfish long fillet (Xiphias gladius)","Fish and products thereof","Mercury - heavy metals","Heavy metals"
"Dec 13, 2021","2021.6830",Italy,"Namibia; Spain","Tranci di Pesce Spada (Xiphias gladius)//Swordfish steaks","Fish and products thereof","Mercury - heavy metals","Heavy metals"
"Dec 13, 2021","2021.6829",Spain,China,"Vajilla de bambú y melamina / Bamboo and melamine tableware","Food contact materials",,
"Dec 13, 2021","2021.6828",Germany,Egypt,"Grape leaves in brine","Fruits and vegetables","Pesticide residues - pesticide residues; Pesticide residues - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 13, 2021","2021.5143",Germany,Greece,"Dried figs","Fruits and vegetables","Labelling - incorrect - labelling absent/incomplete/incorrect","Labelling absent/incomplete/incorrect"
"Dec 10, 2021","2021.6823",Denmark,France,"French sausages","Meat and meat products (other than poultry)",,
"Dec 10, 2021","2021.6821",Denmark,Argentina,"Fresh lemons","Fruits and vegetables","Imazalil - pesticide residues; Propiconazole - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 10, 2021","2021.6820",Sweden,Italy,Gorgonzola,"Milk and milk products","n/a","n/a"
"Dec 10, 2021","2021.6819",Italy,Italy,"Mitili o Cozze (mytilus galloprovincialis)","Bivalve molluscs and products thereof","Escherichia coli - high count of - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 10, 2021","2021.6818",Germany,Poland,"Dillspitzen gerebelt - dill tips, rubbed","Herbs and spices","n/a","n/a"
"Dec 10, 2021","2021.6816",Netherlands,Netherlands,"Kerst bonbons (Christmas chocolates)",Confectionery,,
"Dec 10, 2021","2021.6815",Germany,Greece,"Feigen, getrocknet - dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Dec 10, 2021","2021.6814",Spain,France,"Ground cumin","Herbs and spices","Mustard - undeclared - allergens",Allergens
"Dec 10, 2021","2021.6812",Denmark,Poland,"Organic Sweet Lupines","Feed materials",,
"Dec 10, 2021","2021.6811",Italy,Romania,"URECHI SNACKS - MUSCHI TIGANESC","Meat and meat products (other than poultry)","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 10, 2021","2021.6810",Spain,China,TAZAS,"Food contact materials",,
"Dec 10, 2021","2021.6809",Finland,Pakistan,Rice,"Cereals and bakery products","Chlorpyrifos-methyl - pesticide residues","Pesticide residues"
"Dec 10, 2021","2021.6807",Germany,Spain,"Flavoured white wine","Alcoholic beverages","Tetrahydrocanabinol (THC) - biocontaminants; Tetrahydrocanabinol (THC) - biocontaminants","Biocontaminants; Biocontaminants"
"Dec 10, 2021","2021.6806",Italy,Poland,"Marinated herring fillets","Fish and products thereof","n/a","n/a"
"Dec 10, 2021","2021.6805",Denmark,Thailand,Sapodilla,"Fruits and vegetables","n/a","n/a"
"Dec 10, 2021","2021.6804",Luxembourg,Portugal,"Maize flour","Cereals and bakery products","Fumonisins - mycotoxins",Mycotoxins
"Dec 10, 2021","2021.6802",Spain,Paraguay,"Producto compuesto","Cereals and bakery products",,
"Dec 10, 2021","2021.6799",Belgium,France,"Sauerkraut (choucroute)","Fruits and vegetables",,
"Dec 10, 2021","2021.6796",Germany,"Germany; Vietnam","Ground cinnamon","Herbs and spices","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Dec 10, 2021","2021.6794",Italy,Philippines,"Super Q Special Pancit Canton","Prepared dishes and snacks","Soya - undeclared - allergens",Allergens
"Dec 10, 2021","2021.6792",Lithuania,China,"Dried pears","Fruits and vegetables","E220- sulfur dioxide - too high content of - food additives and flavourings","Food additives and flavourings"
"Dec 10, 2021","2021.6790",Spain,India,"Frozen squid / CALAMAR","Cephalopods and products thereof","Cadmium - heavy metals","Heavy metals"
"Dec 10, 2021","2021.6788",Netherlands,Netherlands,Ham,"Meat and meat products (other than poultry)",,
"Dec 10, 2021","2021.6787","Czech Republic",Spain,"Fuet Salami","Meat and meat products (other than poultry)","Particles plastic - foreign bodies","Foreign bodies"
"Dec 10, 2021","2021.6784",Spain,"unknown origin","YOHIMBINE + CAFFEINE CAPSULES","Dietetic foods, food supplements and fortified foods",,
"Dec 10, 2021","2021.6783",Belgium,Brazil,"Raisins bleus sans pépins 500g","Fruits and vegetables","Matrine - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 10, 2021","2021.6782",Bulgaria,Georgia,"Hazelnut Natural Kernel 13-15 mm","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 9, 2021","2021.6777",Poland,Spain,"Yellow pepper","Fruits and vegetables","Ethephon - pesticide residues","Pesticide residues"
"Dec 9, 2021","2021.6776",Spain,China,"Tableware (bowls, mugs and plates)","Food contact materials",,
"Dec 9, 2021","2021.6775",France,France,"Saucisses et saucissons secs / dried sausage","Meat and meat products (other than poultry)",,
"Dec 9, 2021","2021.6774",Slovenia,Croatia,"Hemp oil","Fats and oils","Tetrahydrocanabinol (THC) - biocontaminants",Biocontaminants
"Dec 9, 2021","2021.6773",Italy,Greece,"PROCESSED ANIMAL PROTEIN CAT 3 FOR PETFOOD","Pet food","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 9, 2021","2021.6772",Sweden,Sweden,"Chicken Nuggets","Other food product / mixed",,
"Dec 9, 2021","2021.6771",Ireland,Ireland,"Minced meat","Meat and meat products (other than poultry)",,
"Dec 9, 2021","2021.6770",Netherlands,"United States",Peanuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 9, 2021","2021.6769",France,"China; France","Enzyme preparation of transglutaminase from Streptoverticillium mobaraense","Food additives and flavourings","Genetically modified - unauthorised - GMO / novel food","GMO / novel food"
"Dec 9, 2021","2021.6768",Denmark,"India; United Kingdom","Curry powder","Herbs and spices","n/a","n/a"
"Dec 9, 2021","2021.6767",Sweden,"United States","Food supplements","Dietetic foods, food supplements and fortified foods",,
"Dec 9, 2021","2021.6766",Germany,"Germany; Vietnam","Food supplements","Dietetic foods, food supplements and fortified foods","2-chloroethanol - pesticide residues","Pesticide residues"
"Dec 9, 2021","2021.6765",Poland,"Türkiye","Red grapefruits - star ruby","Fruits and vegetables","n/a","n/a"
"Dec 9, 2021","2021.6764",Italy,Poland,"Coscia di pollo s/o s/pelle EU poly block","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms; Salmonella Newport - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Dec 9, 2021","2021.6763",Netherlands,"Hong Kong","Polyamide product","Food contact materials","Primary aromatic amines - migration of - migration",Migration
"Dec 9, 2021","2021.6761",Germany,Vietnam,"Dried cardamom / getrockneter Kardamom","Herbs and spices","Anthraquinone - pesticide residues","Pesticide residues"
"Dec 9, 2021","2021.6759",Latvia,Lithuania,"Fish feed","Compound feeds","DNA ruminant - presence of - TSEs",TSEs
"Dec 9, 2021","2021.6758",Slovakia,Poland,"Chicken breast","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 9, 2021","2021.6757","Czech Republic",Bulgaria,"Slighty spicy vegetable product (sterilized vegetable)","Other food product / mixed","Celery - undeclared - allergens",Allergens
"Dec 9, 2021","2021.6755",Austria,Denmark,"Pulled Pork","Prepared dishes and snacks","n/a","n/a"
"Dec 9, 2021","2021.6754",Italy,"Italy; Poland","Farina di grano saraceno // buckwheat flour","Cereals and bakery products","Tetramethrin - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 9, 2021","2021.6750",Greece,"Türkiye",Lemons,"Fruits and vegetables","n/a","n/a"
"Dec 9, 2021","2021.6743",Bulgaria,"Türkiye","FRESH MANDARINES - SATSUMA","Fruits and vegetables","Chlorpyrifos-methyl - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 9, 2021","2021.6742",Bulgaria,Georgia,"Hazelnut Natural Kernel","Nuts, nut products and seeds","Aflatoxin total - mycotoxins",Mycotoxins
"Dec 9, 2021","2021.6740",Netherlands,Uganda,"Organic sesame seeds","Nuts, nut products and seeds","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 9, 2021","2021.6739",Netherlands,Brazil,"Black Pepper","Herbs and spices","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 8, 2021","2021.6736",Poland,Poland,"Beef tartare","Meat and meat products (other than poultry)","Salmonella Derby - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 8, 2021","2021.6735",Germany,"Türkiye","Hazelnuts whole","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 8, 2021","2021.6734",Netherlands,"South Africa",Groundnutkernels,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins; Mycotoxins"
"Dec 8, 2021","2021.6733",Sweden,Belgium,Croissant,"Cereals and bakery products",,
"Dec 8, 2021","2021.6731",Germany,France,"Dried sausages","Meat and meat products (other than poultry)",,
"Dec 8, 2021","2021.6730",Latvia,"Türkiye","Fresh grapefruit","Fruits and vegetables","Chlorpyrifos-methyl - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 8, 2021","2021.6729",Belgium,China,Tea,"Cocoa and cocoa preparations, coffee and tea","n/a","n/a"
"Dec 8, 2021","2021.6728",Belgium,Netherlands,"Macaron Rusk",Confectionery,"Colour E 133 - Brilliant Blue FCF - too high content of - food additives and flavourings","Food additives and flavourings"
"Dec 8, 2021","2021.6727",Belgium,"France; India","Plant extract Cassia Fistula L.","Other food product / mixed","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Dec 8, 2021","2021.6724",Croatia,Iran,Raisins,"Fruits and vegetables","n/a","n/a"
"Dec 8, 2021","2021.6723",Netherlands,India,"SESAME SEED","Nuts, nut products and seeds","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 8, 2021","2021.6721",Netherlands,Brazil,Groundnuts,"Nuts, nut products and seeds","Pesticide residues - pesticide residues; Pesticide residues - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 8, 2021","2021.6720",Belgium,France,Sorghum,"Feed materials","Ragweed (Ambrosia spp.) seeds - too high content of - composition",Composition
"Dec 8, 2021","2021.6717",Greece,India,"Ground Chilly from India","Herbs and spices","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 8, 2021","2021.6715",Belgium,France,"Dried alfalfa","Feed materials","Polycyclic aromatic hydrocarbons sum of - industrial contaminants","Industrial contaminants"
"Dec 7, 2021","2021.6713",Ireland,Philippines,"Flour Sticks Pancit Kanton","Prepared dishes and snacks","Mislabelled - labelling absent/incomplete/incorrect","Labelling absent/incomplete/incorrect"
"Dec 7, 2021","2021.6711",Netherlands,France,"Turkey thigh and turkey leg","Poultry meat and poultry meat products","Salmonella typhimurium DT 104 - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6710",Denmark,India,"Ajwain seeds","Nuts, nut products and seeds","n/a","n/a"
"Dec 7, 2021","2021.6709",Italy,Poland,"Frozen duck leg","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6708",Germany,Germany,"Food supplement","Dietetic foods, food supplements and fortified foods","Aluminium - high content of - composition",Composition
"Dec 7, 2021","2021.6707",Sweden,Austria,"Spice mix","Food additives and flavourings",,
"Dec 7, 2021","2021.6706",Germany,"Germany; Republic of North Macedonia","Feed additive","Feed additives","Antibiotics - presence of - residues of veterinary medicinal products; Phenoxymethylpenicillin - presence of - residues of veterinary medicinal products","Residues of veterinary medicinal products; Residues of veterinary medicinal products"
"Dec 7, 2021","2021.6705",Denmark,India,"Basmati Rice","Cereals and bakery products","Thiamethoxam - pesticide residues; Tricyclazole - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 7, 2021","2021.6704",Belgium,France,"Fish soup","Fish and products thereof",,
"Dec 7, 2021","2021.6703",Belgium,"Dominican Republic","Yard long beans","Fruits and vegetables","n/a","n/a"
"Dec 7, 2021","2021.6701",Poland,"Germany; Poland","Chicken meat","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6699",Italy,Egypt,"Peanuts in shell – arachidi in guscio","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 7, 2021","2021.6698",Italy,Italy,"Polvere di Liquirizia//Licorice powder","Herbs and spices","Ochratoxin A - mycotoxins",Mycotoxins
"Dec 7, 2021","2021.6697",Spain,Spain,"Chicken burger meat","Poultry meat and poultry meat products","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6696",Belgium,"Belgium; Poland; Spain","Raspberry crumble","Fruits and vegetables",,
"Dec 7, 2021","2021.6695",Austria,Italy,"Marinated turkey steak","Poultry meat and poultry meat products","Salmonella Agona - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6692",Poland,Egypt,"Frozen strawberries","Fruits and vegetables","Propargite - pesticide residues; Chlorothalonil - pesticide residues","Pesticide residues; Pesticide residues"
"Dec 7, 2021","2021.6691",Italy,Poland,"Chicken meat","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms; Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Dec 7, 2021","2021.6690",Netherlands,Indonesia,NUTMEG,"Herbs and spices","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 7, 2021","2021.6689",Spain,,CHLEBAK,"Food contact materials",,
"Dec 7, 2021","2021.6688",France,France,"Saucisson sec / dried sausage","Meat and meat products (other than poultry)","n/a","n/a"
"Dec 7, 2021","2021.6687",Spain,China,"GOLOSINA, CANDY",Confectionery,,
"Dec 7, 2021","2021.6685",Estonia,"Türkiye","Grapefruits Star Ruby","Fruits and vegetables","n/a","n/a"
"Dec 7, 2021","2021.6683",Malta,Malta,"Raw fresh eggs","Eggs and egg products","Fipronil - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 7, 2021","2021.6681",Germany,Poland,"Cinnamon flavored corn snack","Cereals and bakery products","Coumarin - too high content of - composition",Composition
"Dec 7, 2021","2021.6680",Croatia,"Bosnia and Herzegovina",Cream,"Milk and milk products","Escherichia coli - too high count of - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 7, 2021","2021.6678",Netherlands,Bolivia,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 7, 2021","2021.6677",Netherlands,India,"Groundnut Kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Dec 7, 2021","2021.6675",Bulgaria,"Türkiye","FRESH MANDARINES","Fruits and vegetables","Prochloraz - pesticide residues","Pesticide residues"
"Dec 6, 2021","2021.6672",France,Belgium,"Frozen raw quail stuffed with foie gras","Poultry meat and poultry meat products","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 6, 2021","2021.6671",Romania,"Türkiye",Grapefruits,"Fruits and vegetables","n/a","n/a"
"Dec 6, 2021","2021.6670",Netherlands,Egypt,"Peanut Kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 6, 2021","2021.6667",Netherlands,Egypt,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 6, 2021","2021.6666",Netherlands,Indonesia,Nutmeg,"Herbs and spices","Ochratoxin A - mycotoxins",Mycotoxins
"Dec 6, 2021","2021.6665",Netherlands,"Türkiye","Dried Figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Dec 6, 2021","2021.6664",Netherlands,Egypt,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 6, 2021","2021.6662",Poland,"Ireland; Poland","Chicken meat","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 6, 2021","2021.6660",Germany,Germany,Cheese,"Milk and milk products","n/a","n/a"
"Dec 6, 2021","2021.6656",Greece,"Türkiye","Candy Lollipop",Confectionery,"E124 - Ponceau 4R/cochineal red A - too high content of - food additives and flavourings; Labelling - insufficient - labelling absent/incomplete/incorrect","Food additives and flavourings; Labelling absent/incomplete/incorrect"
"Dec 6, 2021","2021.6654",Greece,"Republic of North Macedonia",Apples,"Fruits and vegetables","n/a","n/a"
"Dec 6, 2021","2021.6652",Malta,India,"Coloured Sesame Seeds Roasted","Nuts, nut products and seeds",,
"Dec 6, 2021","2021.6648",Spain,Italy,"Refrigerated clam (Chamelea gallina)","Bivalve molluscs and products thereof","E.coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 6, 2021","2021.6646",Sweden,Albania,"Shrimps in brine","Crustaceans and products thereof",,
"Dec 6, 2021","2021.6645",Belgium,Lebanon,Grapes,"Fruits and vegetables","Ethephon - pesticide residues","Pesticide residues"
"Dec 6, 2021","2021.6644",Malta,India,"Chilli Products from India","Herbs and spices",,
"Dec 5, 2021","2021.6643",Bulgaria,"Türkiye","FRESH PEPPER","Fruits and vegetables","Acetamiprid - pesticide residues","Pesticide residues"
"Dec 3, 2021","2021.6642",Belgium,France,Sorghum,"Feed materials","Ragweed (Ambrosia spp.) seeds - too high content of - composition",Composition
"Dec 3, 2021","2021.6641",Poland,Poland,"Poultry meat","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 3, 2021","2021.6640",Belgium,France,"Food supplement","Dietetic foods, food supplements and fortified foods",,
"Dec 3, 2021","2021.6639",Poland,Poland,"Minced kebab","Meat and meat products (other than poultry)","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 3, 2021","2021.6637",Germany,Austria,Himbeeraugen,Confectionery,,
"Dec 3, 2021","2021.6636",Italy,"Italy; Spain","Cozze (Mytilus galloprovincialis)","Bivalve molluscs and products thereof","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Dec 3, 2021","2021.6634",Spain,"India; Italy","MULTICENTRUM INMUNO C","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Dec 3, 2021","2021.6633",Italy,"India; Italy","Dietary supplement","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues","Pesticide residues"
"Dec 3, 2021","2021.6632",Spain,Morocco,CUCUMBERS,"Fruits and vegetables","Oxamyl - pesticide residues","Pesticide residues"
"Dec 3, 2021","2021.6631",Spain,"United States","BEBIDAS AROMATIZADAS","Non-alcoholic beverages",,
"Dec 3, 2021","2021.6629",Norway,"Bulgaria; Poland","Frozen Raspberries","Fruits and vegetables",,
"Dec 3, 2021","2021.6628",Germany,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Dec 3, 2021","2021.6627",Italy,Italy,"Riso arborio","Cereals and bakery products","Tetramethrin - unauthorised substance - pesticide residues","Pesticide residues"
"Dec 3, 2021","2021.6626",Poland,Uganda,"Sesame seeds","Nuts, nut products and seeds",,
"Dec 3, 2021","2021.6625",Norway,India,"Wheat flour","Cereals and bakery products","n/a","n/a"
"Dec 3, 2021","2021.6623",Poland,Chile,Prunes,"Fruits and vegetables","Iprodione - pesticide residues","Pesticide residues"
